GO,Aeropyrum_pernix.CDS.fa.OUTPUT.daa.m8,Aquifex_aeolicus.CDS.fa.OUTPUT.daa.m8,Archaeoglobus_fulgidus.CDS.fa.OUTPUT.daa.m8,Hyperthermus_butyilicus.CDS.fa.OUTPUT.daa.m8,Methanococcus_jannaschii.CDS.fa.OUTPUT.daa.m8,Methanopyrus_kandleri.CDS.fa.OUTPUT.daa.m8,Methanothermus_fervidus.CDS.fa.OUTPUT.daa.m8,Pyrococcus_feriosus.CDS.fa.OUTPUT.daa.m8,Pyrodicitium_abyssi.CDS.fa.OUTPUT.daa.m8,Pyrolobus_fumarii.CDS.fa.OUTPUT.daa.m8,Sulfolobus_acidocaldarius.CDS.fa.OUTPUT.daa.m8,Thermocrinis_minervae.CDS.fa.OUTPUT.daa.m8,Thermocrinis_ruber.CDS.fa.OUTPUT.daa.m8,Thermotoga_maritima.CDS.fa.OUTPUT.daa.m8
 acetate-CoA ligase (ADP-forming) activity [GO:0043758],0,0,0,0,0,0,0,2,0,0,0,0,0,0
ferredoxin-nitrite reductase activity [GO:0048307],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 superoxide reductase activity [GO:0050605],0,0,1,1,1,0,0,1,1,0,0,0,0,0
 ribosome biogenesis [GO:0042254],2,4,3,3,5,3,3,2,4,3,2,0,3,5
 queuosine biosynthetic process [GO:0008616],1,7,0,0,1,0,0,0,0,0,0,0,6,4
 biotin biosynthetic process [GO:0009102],0,5,0,0,5,0,0,1,0,0,0,0,5,0
 protein-glutamine glutaminase activity [GO:0050568],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 peptide deformylase activity [GO:0042586],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 sodium ion transmembrane transporter activity [GO:0015081],0,0,1,0,0,0,0,1,1,0,0,0,0,1
 transketolase activity [GO:0004802],0,1,0,0,1,0,0,0,0,0,0,0,1,1
 glycolate oxidase activity [GO:0008891],0,0,1,0,0,0,0,0,0,0,0,0,0,0
acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 argininosuccinate metabolic process [GO:0000053],0,1,0,0,1,0,0,0,0,0,0,0,0,1
 selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056],1,2,1,1,4,3,0,1,1,1,1,0,2,1
23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 phosphoglycerol geranylgeranyltransferase activity [GO:0047294],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 phosphate-containing compound metabolic process [GO:0006796],1,1,0,1,0,1,1,1,1,1,1,0,1,0
intracellular ribonucleoprotein complex [GO:0030529],2,0,2,1,1,2,3,3,2,3,2,0,0,0
 carbohydrate derivative biosynthetic process [GO:1901137],1,1,0,1,1,1,1,1,1,1,1,0,1,1
 NADH dehydrogenase activity [GO:0003954],0,0,1,0,1,0,0,0,0,0,0,0,0,0
 formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity [GO:0030270],0,0,1,0,1,1,1,0,0,0,0,0,0,0
glutamate-ammonia ligase activity [GO:0004356],0,0,0,0,0,0,0,0,0,0,2,0,0,0
proteasome core complex, alpha-subunit complex [GO:0019773],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 uridine kinase activity [GO:0004849],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 tRNA-type intron splice site recognition and cleavage [GO:0000379],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 transport [GO:0006810],28,22,31,21,22,12,11,36,33,15,23,0,24,45
 DNA duplex unwinding [GO:0032508],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 cell adhesion [GO:0007155],0,4,0,0,0,0,2,0,0,0,0,0,2,1
alpha-mannosidase activity [GO:0004559],0,0,0,0,0,0,1,0,0,0,0,0,0,2
 IMP metabolic process [GO:0046040],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 copper ion binding [GO:0005507],2,4,4,0,0,0,0,1,0,0,4,0,4,0
 DNA polymerase III, core complex [GO:0044776],0,2,0,0,0,0,0,0,0,0,0,0,0,1
aspartic-type endopeptidase activity [GO:0004190],0,0,0,0,3,0,0,0,0,1,0,0,0,0
D-aminoacyl-tRNA deacylase activity [GO:0051499],1,0,1,1,1,1,0,1,1,1,1,0,0,0
 1,4-dihydroxy-2-naphthoate octaprenyltransferase activity [GO:0046428],0,0,0,1,0,0,0,0,0,0,0,0,0,1
bacterial-type flagellum filament cap [GO:0009421],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 formate dehydrogenase (quinone) activity [GO:0036397],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 tRNA threonylcarbamoyladenosine modification [GO:0002949],0,4,0,0,2,0,1,0,5,0,0,0,1,2
protein histidine kinase activity [GO:0004673],0,0,1,0,0,0,0,0,0,0,0,0,0,0
cyanate hydratase activity [GO:0008824],0,1,0,0,0,0,0,0,0,0,0,0,0,0
propanoyl-CoA C-acyltransferase activity [GO:0033814],0,0,0,0,0,0,0,0,0,1,0,0,0,0
 response to desiccation [GO:0009269],0,0,0,0,1,0,0,1,1,0,0,0,0,0
 acetyl-CoA metabolic process [GO:0006084],0,0,5,0,3,3,2,0,0,0,0,0,0,0
 hydrolase activity, acting on ester bonds [GO:0016788],0,0,1,0,0,1,1,0,0,0,2,0,0,0
sequence-specific DNA binding [GO:0043565],7,1,9,8,8,4,7,8,9,11,8,0,1,4
 phospholipid binding [GO:0005543],0,1,0,0,0,0,0,0,0,0,0,0,0,0
structural constituent of cytoskeleton [GO:0005200],0,0,0,0,0,0,0,0,0,1,0,0,0,0
lipid-A-disaccharide synthase activity [GO:0008915],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 cellular amino acid biosynthetic process [GO:0008652],1,0,0,1,0,0,0,0,1,1,1,0,0,0
 thiamine-phosphate kinase activity [GO:0009030],0,1,1,0,1,1,1,1,1,0,0,0,1,0
hydroxymethyl-, formyl- and related transferase activity [GO:0016742],0,0,0,0,0,0,0,0,0,0,0,1,1,0
 phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613],0,0,0,1,0,0,0,1,1,0,1,0,0,0
 S-adenosyl-L-methionine binding [GO:1904047],0,0,0,0,0,0,2,1,1,1,1,0,2,0
 chitinase activity [GO:0004568],0,0,0,0,0,0,0,1,0,0,0,0,0,0
phosphatidylglycerophosphatase activity [GO:0008962],1,0,0,0,1,1,1,2,1,0,0,0,0,0
sucrose alpha-glucosidase activity [GO:0004575],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 proline biosynthetic process [GO:0006561],1,2,0,0,1,1,2,0,0,1,0,0,1,2
 proteasome complex [GO:0000502],0,0,1,0,0,1,0,1,1,0,0,0,0,0
 S-adenosylhomocysteine deaminase activity [GO:0050270],0,1,2,0,0,0,0,1,1,0,0,0,1,1
 endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888],0,1,0,0,1,0,0,0,0,0,0,0,0,0
 base-excision repair, DNA ligation [GO:0006288],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 cellular water homeostasis [GO:0009992],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 hydroxymethylpyrimidine kinase activity [GO:0008902],0,1,0,0,1,0,0,0,0,0,0,0,0,1
 teichoic acid biosynthetic process [GO:0019350],0,1,0,0,0,0,0,0,0,0,0,0,0,0
one-carbon metabolic process [GO:0006730],0,0,1,0,1,0,1,0,0,0,0,0,0,0
 thiamine biosynthetic process [GO:0009228],4,7,8,5,7,7,7,7,6,3,7,0,8,5
DNA primase activity [GO:0003896],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 protein kinase activity [GO:0004672],0,2,0,0,1,0,0,1,0,0,6,0,0,0
inositol 2-dehydrogenase activity [GO:0050112],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 enzyme regulator activity [GO:0030234],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379],0,1,0,0,0,0,0,0,0,0,1,0,1,0
thiolester hydrolase activity [GO:0016790],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 transposition [GO:0032196],0,0,4,0,2,0,0,0,0,0,0,0,0,0
 arginine metabolic process [GO:0006525],1,0,0,1,0,0,0,1,1,0,0,0,0,0
 ribosome [GO:0005840],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 maltodextrin transport [GO:0042956],0,0,0,0,0,0,0,0,0,0,0,0,0,3
 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity [GO:0047482],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 GDP-mannose 4,6-dehydratase activity [GO:0008446],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 rRNA (uridine) methyltransferase activity [GO:0016436],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 racemase activity, acting on amino acids and derivatives [GO:0036361],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667],0,0,0,0,4,0,0,0,0,0,1,0,1,1
proton-transporting V-type ATPase, V1 domain [GO:0033180],0,0,0,0,0,1,1,1,1,0,0,0,0,0
 menaquinone-dependent protoporphyrinogen oxidase activity [GO:0070819],0,0,0,0,1,0,0,0,0,0,0,0,0,0
cell septum assembly [GO:0090529],0,0,1,0,1,1,1,1,1,0,0,0,0,0
(S)-2-haloacid dehalogenase activity [GO:0018784],0,0,0,1,0,0,0,0,0,0,0,0,0,1
ATP biosynthetic process [GO:0006754],0,0,1,0,0,0,0,0,0,0,0,0,0,0
oxidation-reduction process [GO:0055114],1,0,1,0,0,0,0,0,0,1,1,0,0,1
 4-alpha-glucanotransferase activity [GO:0004134],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 methionyl-tRNA aminoacylation [GO:0006431],2,2,1,2,1,1,1,2,2,2,2,0,2,1
 ferric-chelate reductase (NADPH) activity [GO:0052851],0,0,0,0,1,0,0,0,0,0,0,0,0,0
crossover junction endodeoxyribonuclease activity [GO:0008821],1,1,1,1,1,1,1,1,1,1,1,0,1,0
 isopentenyl-diphosphate delta-isomerase activity [GO:0004452],1,0,1,1,1,1,1,1,1,1,1,0,0,0
thioredoxin-disulfide reductase activity [GO:0004791],0,0,0,1,0,0,0,0,0,0,0,0,0,1
 amylo-alpha-1,6-glucosidase activity [GO:0004135],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 DNA-3-methylguanine glycosylase activity [GO:0052822],0,0,1,0,0,0,0,0,0,0,0,0,0,0
cobalamin biosynthetic process [GO:0009236],0,1,0,0,0,1,1,0,0,0,1,0,2,0
 response to toxic substance [GO:0009636],0,0,0,0,0,0,0,1,0,0,0,0,0,0
 glutathione catabolic process [GO:0006751],1,0,0,0,0,0,0,0,0,0,1,0,0,0
phosphomethylpyrimidine kinase activity [GO:0008972],1,0,0,1,0,1,1,1,1,0,2,0,0,0
coenzyme F420 hydrogenase activity [GO:0050454],0,0,0,0,2,3,5,0,0,0,0,0,0,0
chromosome separation [GO:0051304],0,0,1,0,0,0,0,1,1,0,0,0,0,0
glycogen phosphorylase activity [GO:0008184],0,1,0,0,1,0,0,1,1,0,1,0,1,0
 ornithine decarboxylase activity [GO:0004586],0,1,0,0,0,0,0,0,0,0,0,0,0,0
4-alpha-glucanotransferase activity [GO:0004134],0,0,0,0,0,0,0,0,0,0,1,0,1,0
 ubiquinone-6 biosynthetic process [GO:1901006],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 membrane lipid biosynthetic process [GO:0046467],0,0,1,0,1,2,1,1,1,0,0,0,0,0
 purine nucleotide biosynthetic process [GO:0006164],0,1,1,3,0,0,0,0,0,0,0,0,1,3
 phosphoribosylamine-glycine ligase activity [GO:0004637],0,1,1,0,1,1,1,1,1,1,1,0,1,1
 tRNA thio-modification [GO:0034227],2,1,2,3,3,2,4,3,2,1,3,0,1,1
protein-glutamate methylesterase activity [GO:0008984],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 DNA methylation [GO:0006306],0,0,2,0,1,0,0,0,2,0,0,0,3,0
 regulation of sporulation [GO:0043937],0,0,0,0,0,0,0,0,0,0,0,0,0,1
catalytic activity [GO:0003824],33,19,54,43,21,51,37,51,35,55,49,0,21,29
molybdopterin cofactor biosynthetic process [GO:0032324],2,0,0,1,0,0,1,2,2,1,1,0,1,0
 ferric iron import into cell [GO:0097461],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367],0,1,2,0,0,0,0,0,0,0,0,0,1,2
 proteolysis [GO:0006508],0,1,0,0,0,0,0,1,0,0,0,0,0,0
 pyruvate kinase activity [GO:0004743],1,0,0,1,2,0,0,1,1,0,1,0,0,1
 tRNA pseudouridine synthesis [GO:0031119],0,1,0,2,2,0,4,1,1,2,0,0,2,1
heme binding [GO:0020037],1,0,0,0,1,2,1,0,0,0,2,0,1,0
 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949],0,1,1,0,2,1,1,1,0,1,0,0,1,1
acetylornithine deacetylase activity [GO:0008777],0,0,1,0,0,0,0,1,0,0,0,0,0,1
gamma-glutamyltransferase activity [GO:0003840],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 xylan catabolic process [GO:0045493],0,0,0,1,0,1,0,0,0,0,0,0,0,2
 secondary active sulfate transmembrane transporter activity [GO:0008271],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 DNA strand elongation involved in DNA replication [GO:0006271],0,1,0,0,0,0,0,0,0,0,0,0,0,0
proline dipeptidase activity [GO:0102009],0,0,0,1,0,0,0,0,0,0,0,0,0,0
 primary metabolic process [GO:0044238],0,1,0,0,0,1,0,0,0,0,0,0,1,1
 transaminase activity [GO:0008483],8,3,5,3,3,2,3,9,10,4,9,0,5,4
formyl-CoA transferase activity [GO:0033608],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 lipopolysaccharide transport [GO:0015920],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 DNA replication, synthesis of RNA primer [GO:0006269],0,1,0,0,1,0,0,0,0,0,0,0,1,2
 pyridoxal phosphate binding [GO:0030170],12,13,11,11,13,6,7,10,6,7,6,0,10,12
 histidinol-phosphatase activity [GO:0004401],0,0,0,0,0,0,0,0,0,0,0,0,0,1
oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627],3,0,3,0,0,0,0,0,0,1,4,0,0,0
 phosphorylation [GO:0016310],3,0,3,2,2,3,2,2,2,1,1,0,0,0
 sulfate reduction [GO:0019419],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 voltage-gated chloride channel activity [GO:0005247],2,0,1,2,1,1,0,0,1,1,1,0,0,0
anthranilate synthase complex [GO:0005950],0,1,0,0,1,0,0,0,0,0,0,0,0,1
dCTP deaminase activity [GO:0008829],1,1,0,1,0,1,1,1,1,1,1,0,1,0
 thiamine diphosphate biosynthetic process [GO:0009229],1,6,5,3,5,4,5,6,5,2,3,0,5,4
 protein lipoylation [GO:0009249],1,1,0,0,0,0,0,0,0,0,2,0,2,1
arylformamidase activity [GO:0004061],0,0,1,1,1,0,0,0,0,0,3,0,0,1
 glutamate-5-semialdehyde dehydrogenase activity [GO:0004350],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 thymidine metabolic process [GO:0046104],0,0,0,0,0,0,0,0,0,0,0,0,0,1
riboflavin synthase complex [GO:0009349],2,0,2,2,1,2,2,1,0,2,2,0,1,1
 nicotinamide nucleotide metabolic process [GO:0046496],1,0,0,0,0,0,1,1,1,1,1,0,1,0
 phosphohistidine phosphatase activity [GO:0008969],0,1,1,0,0,0,0,0,0,0,1,0,0,0
 acetoin metabolic process [GO:0045149],0,1,0,0,0,0,0,0,0,0,0,0,0,0
protein-tyrosine sulfotransferase activity [GO:0008476],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 dTMP biosynthetic process [GO:0006231],1,1,0,1,2,0,0,1,1,1,1,0,1,1
 FMN binding [GO:0010181],3,5,6,4,8,2,4,5,3,3,3,0,4,6
 diacylglycerol kinase activity [GO:0004143],0,0,0,0,0,0,0,0,0,0,0,0,0,1
uracil phosphoribosyltransferase activity [GO:0004845],0,0,0,1,0,0,0,0,0,0,0,0,0,0
 DNA-templated transcription, elongation [GO:0006354],0,1,0,0,0,0,0,0,0,0,0,0,0,0
nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity [GO:0008939],1,0,1,0,1,1,1,1,1,1,1,0,0,0
nucleotide-activated protein kinase complex [GO:0031588],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 response to antibiotic [GO:0046677],0,2,0,0,0,0,0,0,0,0,0,0,1,1
 isoleucine-tRNA ligase activity [GO:0004822],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 3'-5'-exoribonuclease activity [GO:0000175],0,1,0,0,0,0,1,0,0,1,0,0,1,1
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511],0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ribosomal-protein-alanine N-acetyltransferase activity [GO:0008999],0,1,0,0,0,0,1,0,0,0,0,0,1,0
 acetylglutamate kinase activity [GO:0003991],1,1,1,0,1,1,1,1,1,1,1,0,1,1
 oligosaccharyl transferase activity [GO:0004576],0,0,3,1,1,0,3,2,1,1,1,0,1,0
 protein tyrosine phosphatase activity [GO:0004725],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 intracellular protein transmembrane transport [GO:0065002],0,2,0,0,1,2,4,1,2,1,1,0,5,5
 cytoplasmic translational termination [GO:0002184],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 2'-5'-RNA ligase activity [GO:0008664],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 heme a biosynthetic process [GO:0006784],1,1,0,0,0,0,0,0,0,0,0,0,1,0
folic acid binding [GO:0005542],0,0,0,0,0,0,0,0,0,0,0,0,0,1
oxidoreductase activity, acting on iron-sulfur proteins as donors [GO:0016730],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 arsenate reductase (azurin) activity [GO:0050611],1,0,0,0,0,0,0,0,0,0,0,0,0,0
O-methyltransferase activity [GO:0008171],1,1,1,0,1,0,1,0,0,0,0,0,0,0
 peptidyl-prolyl cis-trans isomerase activity [GO:0003755],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 methionine-tRNA ligase activity [GO:0004825],2,2,1,2,1,1,1,2,2,2,2,0,2,1
 aerobic respiration [GO:0009060],2,2,0,0,1,0,0,0,0,0,3,1,4,0
 thermospermine synthase activity [GO:0010487],0,0,0,2,0,0,0,1,0,0,0,0,0,1
ferredoxin hydrogenase activity [GO:0008901],0,3,3,1,4,4,2,0,2,2,0,0,3,0
 cadmium-exporting ATPase activity [GO:0008551],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 carboxy-lyase activity [GO:0016831],0,0,0,0,1,0,0,0,0,0,0,0,0,0
cytosolic ribosome [GO:0022626],0,1,0,0,0,0,0,0,0,0,0,0,0,1
 nucleoside triphosphate catabolic process [GO:0009143],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 L-cysteine desulfhydrase activity [GO:0080146],1,1,0,0,0,0,0,0,0,0,0,0,0,1
 glycogen metabolic process [GO:0005977],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 cysteine desulfurase activity [GO:0031071],0,0,2,0,0,0,0,0,0,0,0,0,0,0
 lipid binding [GO:0008289],0,1,0,0,1,0,0,0,0,0,0,0,0,0
1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 hypoxanthine phosphoribosyltransferase activity [GO:0004422],0,1,0,0,1,1,1,0,0,0,0,0,1,1
pteridine-containing compound metabolic process [GO:0042558],0,0,1,1,0,1,1,1,1,0,1,0,0,0
 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518],0,2,0,0,0,0,0,0,0,0,0,0,0,0
 regulation of defense response to virus [GO:0050688],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 D-amino acid catabolic process [GO:0019478],1,0,1,1,1,1,0,1,1,1,1,0,1,1
 dATP catabolic process [GO:0046061],0,1,0,0,0,0,0,0,0,0,0,0,0,2
 intein-mediated protein splicing [GO:0016539],1,1,0,0,16,6,6,9,10,0,0,0,0,0
 detoxification of mercury ion [GO:0050787],1,0,0,0,0,0,0,0,0,0,1,0,0,0
 tRNA (cytosine-5-)-methyltransferase activity [GO:0016428],0,0,0,0,1,0,0,0,1,0,0,0,0,0
 phosphoenolpyruvate carboxylase activity [GO:0008964],0,0,0,0,0,0,1,0,0,0,1,0,0,0
 glycerophospholipid biosynthetic process [GO:0046474],0,3,1,0,1,0,2,1,0,2,2,0,0,1
 tyrosyl-tRNA aminoacylation [GO:0006437],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 alanine-glyoxylate transaminase activity [GO:0008453],0,0,0,0,1,0,0,0,0,0,0,0,0,1
 endopeptidase activity [GO:0004175],0,1,0,0,5,0,0,0,0,0,0,0,0,2
 cellular response to nutrient levels [GO:0031669],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 sulfate adenylyltransferase (ATP) activity [GO:0004781],1,1,1,1,0,0,0,0,1,1,0,0,1,0
 pyrimidine nucleobase biosynthetic process [GO:0019856],0,0,0,0,0,0,0,0,0,0,0,0,0,1
methylenetetrahydrofolate reductase (NAD(P)H) activity [GO:0004489],1,0,0,0,0,0,0,0,0,1,0,0,0,1
 organic acid metabolic process [GO:0006082],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 FMN adenylyltransferase activity [GO:0003919],0,1,1,0,1,1,1,1,1,0,0,0,1,1
 carbon-monoxide dehydrogenase (acceptor) activity [GO:0018492],0,0,1,1,1,1,2,0,0,1,0,0,0,0
 tryptophan-tRNA ligase activity [GO:0004830],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 N-acetylglucosamine metabolic process [GO:0006044],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 aspartate metabolic process [GO:0006531],1,0,1,0,1,1,1,1,1,1,3,0,0,0
 glycosaminoglycan biosynthetic process [GO:0006024],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 NADH dehydrogenase complex assembly [GO:0010257],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 mRNA cleavage [GO:0006379],1,0,1,1,1,2,1,1,1,0,1,0,0,0
deoxyribonuclease activity [GO:0004536],1,1,1,0,1,0,1,2,1,0,1,0,0,1
 ADP-L-glycero-beta-D-manno-heptose biosynthetic process [GO:0097171],0,2,0,0,0,0,0,0,0,0,0,0,1,0
endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888],0,0,0,0,1,2,0,1,2,0,1,0,1,0
 nucleoside-triphosphatase activity [GO:0017111],3,2,3,3,3,3,2,2,2,3,3,0,2,2
 protein-heme linkage [GO:0017003],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 peroxidase activity [GO:0004601],3,0,0,0,4,0,1,1,0,1,0,0,0,3
 calcium channel activity [GO:0005262],0,1,0,0,1,0,0,0,0,0,0,0,0,1
 FMN biosynthetic process [GO:0009398],1,1,1,1,1,1,1,1,1,0,1,0,1,1
 SOS response [GO:0009432],0,4,0,0,0,0,0,0,0,0,0,0,5,8
 phosphotransferase activity, for other substituted phosphate groups [GO:0016780],2,3,4,2,1,2,2,2,2,2,1,0,2,1
 acireductone dioxygenase [iron(II)-requiring] activity [GO:0010309],0,1,0,0,0,0,0,0,0,0,0,0,0,0
aspartate dehydrogenase activity [GO:0033735],0,0,1,1,1,1,1,0,0,1,0,0,0,1
 glyoxylate cycle [GO:0006097],0,1,1,0,0,0,0,0,0,0,1,0,0,0
 FAD binding [GO:0071949],0,1,1,0,0,0,0,0,0,0,0,0,0,1
 nucleotide phosphatase activity, acting on free nucleotides [GO:0098519],1,1,1,1,1,1,0,1,1,1,1,0,1,1
 hydrogen ion transmembrane transporter activity [GO:0015078],2,1,3,2,0,2,3,2,2,2,2,0,1,2
cobaltochelatase activity [GO:0051116],0,0,0,0,1,0,1,0,0,0,0,0,0,0
 deoxyribonuclease V activity [GO:0043737],1,1,1,1,0,1,1,1,1,1,1,0,1,1
deoxyribodipyrimidine photo-lyase activity [GO:0003904],0,0,0,0,0,0,0,0,0,0,1,0,0,0
NADH dehydrogenase (ubiquinone) activity [GO:0008137],1,0,0,2,0,0,0,1,2,1,1,0,0,1
5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168],0,0,0,0,0,0,0,0,0,2,0,0,0,0
 hydro-lyase activity [GO:0016836],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 transferase activity, transferring hexosyl groups [GO:0016758],1,0,0,0,1,1,0,0,0,0,0,0,0,1
 carbohydrate derivative binding [GO:0097367],1,2,0,1,2,1,1,1,1,0,1,0,2,2
 inositol-3-phosphate synthase activity [GO:0004512],0,0,1,0,0,0,0,0,0,0,0,0,1,0
L(+)-tartrate dehydratase activity [GO:0008730],0,0,0,2,1,0,0,0,0,0,0,0,0,0
 pantothenate biosynthetic process from valine [GO:0033317],0,3,0,0,0,0,0,0,0,0,0,0,0,0
 FMN metabolic process [GO:0046444],0,0,1,0,1,1,1,1,1,0,0,0,0,0
 chorismate mutase activity [GO:0004106],0,1,1,0,1,0,0,0,0,1,0,0,1,0
 coproporphyrinogen oxidase activity [GO:0004109],0,2,0,0,0,0,0,0,0,0,0,0,2,1
formylmethanofuran-tetrahydromethanopterin N-formyltransferase activity [GO:0030270],0,0,1,0,0,1,1,0,0,0,0,0,0,0
 endo-1,4-beta-xylanase activity [GO:0031176],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ligase activity, forming carbon-nitrogen bonds [GO:0016879],1,1,3,2,4,2,3,3,3,3,3,0,2,1
 metalloexopeptidase activity [GO:0008235],1,2,1,1,1,0,0,1,1,1,0,0,1,0
 glutamate synthase (NADPH) activity [GO:0004355],0,0,1,0,1,0,0,0,0,0,0,0,0,1
 aminoacyl-tRNA editing activity [GO:0002161],3,5,4,2,4,3,3,3,3,2,4,0,4,5
cysteine synthase activity [GO:0004124],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 argininosuccinate synthase activity [GO:0004055],0,1,1,1,1,1,1,1,0,1,1,0,1,1
 outer membrane-bounded periplasmic space [GO:0030288],0,4,0,0,0,0,0,0,0,0,0,0,1,7
 polynucleotide 3' dephosphorylation [GO:0098506],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 oxalate metabolic process [GO:0033609],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 glycerophospholipid metabolic process [GO:0006650],3,1,5,4,5,6,3,4,5,1,2,0,1,1
 ATP-dependent 5'-3' DNA helicase activity [GO:0043141],1,0,1,1,1,1,0,1,1,1,1,0,0,0
cytosol [GO:0005829],0,78,0,1,26,0,0,1,1,0,2,0,2,43
thiosulfate sulfurtransferase activity [GO:0004792],1,1,0,0,0,0,0,0,0,0,2,1,0,0
 single-stranded DNA endodeoxyribonuclease activity [GO:0000014],0,0,0,1,0,0,0,0,0,1,1,0,0,0
 oxidoreductase activity, acting on diphenols and related substances as donors [GO:0016679],2,0,0,0,0,0,0,0,0,0,3,0,1,0
nuclease activity [GO:0004518],2,2,2,2,3,0,0,1,2,4,6,0,4,3
alkylglycerone-phosphate synthase activity [GO:0008609],1,0,0,0,0,0,0,0,0,0,0,0,0,0
